Device,Status,Start Datetime,End Datetime,latitude,longitude,Length (mi),Top speed (mph),Avg Speed (mph),Engine Idle in Minutes,Duration in Minutes
#1,Moving,04/26/2024 09:24,04/26/2024 09:50,,,9.3,61.9,21.1,,26.5
#1,Stopped,04/26/2024 09:50,04/26/2024 10:03,35.860294,-78.820803,,,,1.3833333333333333,12.216666666666667
#1,Moving,04/26/2024 10:03,04/26/2024 10:14,,,4.7,54.1,24.1,,11.616666666666667
#1,Stopped,04/26/2024 10:14,04/26/2024 10:31,35.860289,-78.820807,,,,1.5666666666666667,16.95
#1,Moving,04/26/2024 10:31,04/26/2024 11:19,,,20.6,61.9,25.9,,47.75
#1,Stopped,04/26/2024 11:19,04/26/2024 11:30,35.855898,-78.823831,,,,10.85,10.85
#1,Moving,04/26/2024 11:30,04/26/2024 11:41,,,5.0,59.2,25.6,,11.716666666666667
#1,Stopped,04/26/2024 11:41,04/26/2024 12:05,35.860233,-78.820821,,,,0.6,23.3
#1,Moving,04/26/2024 12:05,04/26/2024 12:11,,,0.4,28.8,4.2,,6.116666666666666
#1,Stopped,04/26/2024 12:11,04/26/2024 14:01,35.86032,-78.820836,,,,25.05,110.6
#1,Moving,04/26/2024 14:01,04/26/2024 14:20,,,10.2,66.1,32.6,,18.783333333333335
#1,Stopped,04/26/2024 14:20,04/26/2024 16:27,35.860313,-78.820847,,,,0.5833333333333334,126.3
#1,Moving,04/26/2024 16:27,04/26/2024 16:30,,,0.6,44.2,10.5,,3.4333333333333336
#1,Stopped,04/26/2024 16:30,04/26/2024 16:36,35.854525,-78.825954,,,,5.566666666666666,5.566666666666666
#1,Moving,04/26/2024 16:36,04/26/2024 16:39,,,0.8,44.6,12.7,,3.6333333333333333
#1,Stopped,04/26/2024 16:39,04/26/2024 17:53,35.860284,-78.820822,,,,0.4166666666666667,73.95
#1,Moving,04/26/2024 17:53,04/26/2024 17:59,,,1.9,44.5,18.8,,5.966666666666667
#1,Stopped,04/26/2024 17:59,04/26/2024 19:07,35.860297,-78.820818,,,,1.0333333333333334,67.41666666666667
#1,Moving,04/26/2024 19:07,04/26/2024 19:33,,,6.9,50.0,15.8,,26.133333333333333
#1,Stopped,04/26/2024 19:33,04/26/2024 20:11,35.860333,-78.820892,,,,1.4,38.03333333333333
#1,Moving,04/26/2024 20:11,04/26/2024 20:24,,,5.1,46.1,23.2,,13.016666666666667
#1,Stopped,04/26/2024 20:24,04/26/2024 23:03,35.860296,-78.820827,,,,0.9333333333333333,159.76666666666668
#1,Moving,04/26/2024 23:03,04/26/2024 23:23,,,5.2,54.6,15.6,,19.733333333333334
#1,Stopped,04/26/2024 23:23,04/26/2024 23:56,35.860289,-78.820854,,,,0.0,32.983333333333334
#2,Stopped,04/26/2024 00:00,04/26/2024 05:02,35.860188,-78.821386,,,,30.166666666666668,1054.75
#2,Moving,04/26/2024 05:02,04/26/2024 05:02,,,0.1,10.4,4.1,,0.6166666666666667
#2,Stopped,04/26/2024 05:02,04/26/2024 05:33,35.860287,-78.82085,,,,9.216666666666667,30.166666666666668
#2,Moving,04/26/2024 05:33,04/26/2024 05:49,,,4.7,56.0,17.1,,16.583333333333332
#2,Stopped,04/26/2024 05:49,04/26/2024 16:57,35.860223,-78.821461,,,,1.0666666666666667,667.6
#2,Moving,04/26/2024 16:57,04/26/2024 16:57,,,0.2,5.8,4.8,,0.13333333333333333
#2,Stopped,04/26/2024 16:57,04/26/2024 23:36,35.860174,-78.821286,,,,0.6,399.48333333333335
#1,Stopped,04/25/2024 00:05,04/25/2024 04:31,35.860447,-78.820783,,,,0.7833333333333333,337.2
#1,Moving,04/25/2024 04:31,04/25/2024 04:42,,,4.8,55.9,26.9,,10.4
#1,Stopped,04/25/2024 04:42,04/25/2024 05:31,35.860314,-78.820855,,,,49.36666666666667,49.36666666666667
#1,Moving,04/25/2024 05:31,04/25/2024 05:46,,,4.7,50.1,19.1,,14.75
#1,Stopped,04/25/2024 05:46,04/25/2024 05:52,35.860549,-78.821452,,,,5.85,5.85
#1,Moving,04/25/2024 05:52,04/25/2024 05:52,,,0.0,11.7,6.3,,0.3333333333333333
#1,Stopped,04/25/2024 05:52,04/25/2024 05:59,35.860303,-78.820832,,,,1.9666666666666668,7.65
#1,Moving,04/25/2024 05:59,04/25/2024 06:12,,,4.9,55.4,23.5,,12.366666666666667
#1,Stopped,04/25/2024 06:12,04/25/2024 06:24,35.86053,-78.821447,,,,12.633333333333333,12.633333333333333
#1,Moving,04/25/2024 06:24,04/25/2024 06:25,,,0.0,6.9,2.6,,0.7166666666666667
#1,Stopped,04/25/2024 06:25,04/25/2024 06:59,35.860301,-78.82088,,,,0.08333333333333333,34.05
#1,Moving,04/25/2024 06:59,04/25/2024 07:06,,,2.9,56.0,24.9,,6.966666666666667
#1,Stopped,04/25/2024 07:06,04/25/2024 07:14,35.876171,-78.793137,,,,0.0,8.266666666666667
#1,Moving,04/25/2024 07:14,04/25/2024 07:19,,,2.0,51.8,24.0,,4.916666666666667
#1,Stopped,04/25/2024 07:19,04/25/2024 07:32,35.860263,-78.820796,,,,0.2833333333333333,12.566666666666666
#1,Moving,04/25/2024 07:32,04/25/2024 07:39,,,2.9,54.8,24.1,,7.183333333333334
